Model,Metric,Type,Score
EVENT,ACC,Original,0.416
EVENT,ACC,Robust Avg,0.447
EVENT,F1,Original,0.582
EVENT,F1,Robust Avg,0.598
EVENT,MCC,Original,0.078
EVENT,MCC,Robust Avg,-0.032
HTML,ACC,Original,0.442
HTML,ACC,Robust Avg,0.465
HTML,F1,Original,0.571
HTML,F1,Robust Avg,0.608
HTML,MCC,Original,0.052
HTML,MCC,Robust Avg,0.019
MRDM,ACC,Original,0.504
MRDM,ACC,Robust Avg,0.465
MRDM,F1,Original,0.541
MRDM,F1,Robust Avg,0.569
MRDM,MCC,Original,0.079
MRDM,MCC,Robust Avg,-0.024
XGB,ACC,Original,0.434
XGB,ACC,Robust Avg,0.462
XGB,F1,Original,0.448
XGB,F1,Robust Avg,0.456
XGB,MCC,Original,-0.093
XGB,MCC,Robust Avg,-0.076
GPT-4o (Trinity),ACC,Original,0.5847457627118644
GPT-4o (Trinity),ACC,Robust Avg,0.5346062894576205
GPT-4o (Trinity),F1,Original,0.5844771828961552
GPT-4o (Trinity),F1,Robust Avg,0.5290747890431579
GPT-4o (Trinity),MCC,Original,0.17580009600145763
GPT-4o (Trinity),MCC,Robust Avg,0.06985858260459701
